,TICKER,EST_DATE,MEASURE,FPI,MEANEST,ACT_DATE,ACTUAL
2660,NFLX,20110120,EPS,2,0.55,20111231,0.6086
2780,NFLX,20110120,EPS,5,1.58,20141231,0.5271
2637,NFLX,20110217,EPS,1,0.63,20111231,0.6086
2685,NFLX,20110217,EPS,2,0.89,20121231,0.0414
2805,NFLX,20110217,EPS,5,2.37,20151231,0.25
2638,NFLX,20110317,EPS,1,0.63,20111231,0.6086
2686,NFLX,20110317,EPS,2,0.9,20121231,0.0414
2806,NFLX,20110317,EPS,5,2.37,20151231,0.25
2639,NFLX,20110414,EPS,1,0.63,20111231,0.6086
2687,NFLX,20110414,EPS,2,0.91,20121231,0.0414
2807,NFLX,20110414,EPS,5,2.37,20151231,0.25
2640,NFLX,20110519,EPS,1,0.64,20111231,0.6086
2688,NFLX,20110519,EPS,2,0.93,20121231,0.0414
2808,NFLX,20110519,EPS,5,2.4,20151231,0.25
2641,NFLX,20110616,EPS,1,0.64,20111231,0.6086
2689,NFLX,20110616,EPS,2,0.93,20121231,0.0414
2809,NFLX,20110616,EPS,5,2.4,20151231,0.25
2642,NFLX,20110714,EPS,1,0.64,20111231,0.6086
2690,NFLX,20110714,EPS,2,0.94,20121231,0.0414
2810,NFLX,20110714,EPS,5,2.4,20151231,0.25
2643,NFLX,20110818,EPS,1,0.67,20111231,0.6086
2691,NFLX,20110818,EPS,2,0.98,20121231,0.0414
2811,NFLX,20110818,EPS,5,2.42,20151231,0.25
2644,NFLX,20110915,EPS,1,0.66,20111231,0.6086
2692,NFLX,20110915,EPS,2,0.97,20121231,0.0414
2812,NFLX,20110915,EPS,5,2.19,20151231,0.25
2645,NFLX,20111020,EPS,1,0.63,20111231,0.6086
2693,NFLX,20111020,EPS,2,0.88,20121231,0.0414
2813,NFLX,20111020,EPS,5,1.87,20151231,0.25
2646,NFLX,20111117,EPS,1,0.59,20111231,0.6086
2694,NFLX,20111117,EPS,2,0.17,20121231,0.0414
2814,NFLX,20111117,EPS,5,1.79,20151231,0.25
2647,NFLX,20111215,EPS,1,0.59,20111231,0.6086
2695,NFLX,20111215,EPS,2,0.01,20121231,0.0414
2815,NFLX,20111215,EPS,5,1.4,20151231,0.25
2648,NFLX,20120119,EPS,1,0.58,20111231,0.6086
2696,NFLX,20120119,EPS,2,-0.01,20121231,0.0414
2816,NFLX,20120119,EPS,5,1.17,20151231,0.25
2673,NFLX,20120216,EPS,1,-0.03,20121231,0.0414
2721,NFLX,20120216,EPS,2,0.37,20131231,0.2643
2840,NFLX,20120216,EPS,5,1.17,20161231,0.43
2674,NFLX,20120315,EPS,1,-0.03,20121231,0.0414
2722,NFLX,20120315,EPS,2,0.36,20131231,0.2643
2841,NFLX,20120315,EPS,5,1.17,20161231,0.43
2675,NFLX,20120419,EPS,1,-0.03,20121231,0.0414
2723,NFLX,20120419,EPS,2,0.35,20131231,0.2643
2842,NFLX,20120419,EPS,5,1.17,20161231,0.43
2676,NFLX,20120517,EPS,1,0.01,20121231,0.0414
2724,NFLX,20120517,EPS,2,0.31,20131231,0.2643
2843,NFLX,20120517,EPS,5,1.12,20161231,0.43
2677,NFLX,20120614,EPS,1,0.01,20121231,0.0414
2725,NFLX,20120614,EPS,2,0.3,20131231,0.2643
2844,NFLX,20120614,EPS,5,1.12,20161231,0.43
2678,NFLX,20120719,EPS,1,0.02,20121231,0.0414
2726,NFLX,20120719,EPS,2,0.3,20131231,0.2643
2845,NFLX,20120719,EPS,5,1.12,20161231,0.43
2679,NFLX,20120816,EPS,1,0.0,20121231,0.0414
2727,NFLX,20120816,EPS,2,0.13,20131231,0.2643
2846,NFLX,20120816,EPS,5,1.04,20161231,0.43
2680,NFLX,20120920,EPS,1,0.0,20121231,0.0414
2728,NFLX,20120920,EPS,2,0.12,20131231,0.2643
2847,NFLX,20120920,EPS,5,1.04,20161231,0.43
2681,NFLX,20121018,EPS,1,0.0,20121231,0.0414
2729,NFLX,20121018,EPS,2,0.12,20131231,0.2643
2848,NFLX,20121018,EPS,5,0.9,20161231,0.43
2682,NFLX,20121115,EPS,1,0.01,20121231,0.0414
2730,NFLX,20121115,EPS,2,0.06,20131231,0.2643
2849,NFLX,20121115,EPS,5,0.71,20161231,0.43
2683,NFLX,20121220,EPS,1,0.01,20121231,0.0414
2731,NFLX,20121220,EPS,2,0.06,20131231,0.2643
2850,NFLX,20121220,EPS,5,0.54,20161231,0.43
2684,NFLX,20130117,EPS,1,0.01,20121231,0.0414
2732,NFLX,20130117,EPS,2,0.06,20131231,0.2643
2851,NFLX,20130117,EPS,5,0.72,20161231,0.43
2709,NFLX,20130214,EPS,1,0.18,20131231,0.2643
2757,NFLX,20130214,EPS,2,0.4,20141231,0.5271
2876,NFLX,20130214,EPS,5,1.25,20171231,1.25
2710,NFLX,20130314,EPS,1,0.2,20131231,0.2643
2758,NFLX,20130314,EPS,2,0.43,20141231,0.5271
2877,NFLX,20130314,EPS,5,1.63,20171231,1.25
2711,NFLX,20130418,EPS,1,0.19,20131231,0.2643
2759,NFLX,20130418,EPS,2,0.41,20141231,0.5271
2878,NFLX,20130418,EPS,5,1.37,20171231,1.25
2712,NFLX,20130516,EPS,1,0.2,20131231,0.2643
2760,NFLX,20130516,EPS,2,0.45,20141231,0.5271
2879,NFLX,20130516,EPS,5,1.28,20171231,1.25
2713,NFLX,20130620,EPS,1,0.2,20131231,0.2643
2761,NFLX,20130620,EPS,2,0.45,20141231,0.5271
2880,NFLX,20130620,EPS,5,1.28,20171231,1.25
2714,NFLX,20130718,EPS,1,0.2,20131231,0.2643
2762,NFLX,20130718,EPS,2,0.44,20141231,0.5271
2881,NFLX,20130718,EPS,5,1.28,20171231,1.25
2715,NFLX,20130815,EPS,1,0.21,20131231,0.2643
2763,NFLX,20130815,EPS,2,0.47,20141231,0.5271
2882,NFLX,20130815,EPS,5,1.36,20171231,1.25
2716,NFLX,20130919,EPS,1,0.21,20131231,0.2643
2764,NFLX,20130919,EPS,2,0.48,20141231,0.5271
2883,NFLX,20130919,EPS,5,1.37,20171231,1.25
2717,NFLX,20131017,EPS,1,0.22,20131231,0.2643
2765,NFLX,20131017,EPS,2,0.49,20141231,0.5271
2884,NFLX,20131017,EPS,5,1.35,20171231,1.25
2718,NFLX,20131114,EPS,1,0.25,20131231,0.2643
2766,NFLX,20131114,EPS,2,0.57,20141231,0.5271
2885,NFLX,20131114,EPS,5,2.21,20171231,1.25
2719,NFLX,20131219,EPS,1,0.25,20131231,0.2643
2767,NFLX,20131219,EPS,2,0.57,20141231,0.5271
2886,NFLX,20131219,EPS,5,1.98,20171231,1.25
2720,NFLX,20140116,EPS,1,0.25,20131231,0.2643
2768,NFLX,20140116,EPS,2,0.57,20141231,0.5271
2887,NFLX,20140116,EPS,5,2.16,20171231,1.25
2745,NFLX,20140220,EPS,1,0.58,20141231,0.5271
2793,NFLX,20140220,EPS,2,1.05,20151231,0.25
